KLBT,KALIBRATE TECHNOLOGIES PLC,BBG005NFMCY1
KDR,KARELIAN DIAMOND RESOURCES,BBG000PZNQT0
KAZ,KAZ MINERALS PLC,BBG000J9PLV1
KBC,KBC ADVANCED TECHNOLOGIES,BBG000BRHDJ0
KCOM,KCOM GROUP PLC,BBG000BYWTN8
KEFI,KEFI MINERALS PLC,BBG000BVDYG2
KLN,KELLAN GROUP PLC/THE,BBG000BYY5L0
KLR,KELLER GROUP PLC,BBG000C401H6
KEM,KEMIN RESOURCES PLC,BBG000BG1PL1
KMR,KENMARE RESOURCES PLC,BBG000BDP7Z7
KENV,KENNEDY VENTURES PLC,BBG000DK8NR2
KWE,KENNEDY WILSON EUROPE REA,BBG00609JYD7
KYGA,KERRY GROUP PLC-A,BBG000BHKB48
KWS,KEYWORDS STUDIOS PLC,BBG004S4GKP3
KIBO,KIBO MINING PLC,BBG000QSZDH4
KIE,KIER GROUP PLC,BBG000HT2J03
KBE,KIMBERLY ENTERPRISES NV,BBG000C86PX0
KGF,KINGFISHER PLC,BBG000BKH1W6
KGP,KINGSPAN GROUP PLC,BBG000BLFJX6
KOD,KODAL MINERALS PLC,BBG005PDGT47
KGLD,KOLAR GOLD PLC,BBG001QZSVJ2
KNM,KONAMI HOLDINGS CORP,BBG000BXJR40
KOOV,KOOVS PLC,BBG006239PZ4
KMK,KROMEK GROUP PLC,BBG005DYWMH7
KSK,KSK POWER VENTUR PLC,BBG000Q9JYY9
LAD,LADBROKES PLC,BBG000BV7X26
LRD,LAIRD PLC,BBG000BDPL04
LAKE,LAKEHOUSE PLC,BBG00824DWX0
LAM,LAMPRELL PLC,BBG000KDY091
LRE,LANCASHIRE HOLDINGS LTD,BBG000C1PNG8
LND,LANDORE RESOURCES LTD,BBG000D22JS6
LOGP,LANSDOWNE OIL & GAS PLC,BBG000NWKSX3
LTHM,LATHAM (JAMES) PLC,BBG000BFV3H4
LVD,LAVENDON GROUP PLC,BBG000HJMMX0
LEAL,LEAD ALL INVESTMENTS LTD-DI,BBG002N07KZ9
LEAF,LEAF CLEAN ENERGY CO,BBG000RHC3F6
LTG,LEARNING TECHNOLOGIES GROUP,BBG001R18D08
LED,LED INTERNATIONAL HOLDINGS L,BBG000BX7907
LDP,LEED RESOURCES PLC,BBG000RTJR79
LDSG,LEEDS GROUP PLC,BBG000BDQ4H3
LGEN,LEGAL & GENERAL GROUP PLC,BBG000BDQCG6
LEG,LEGENDARY INVESTMENTS PLC,BBG000BZDP63
LEK,LEKOIL LTD  - DI,BBG004DJJ7Y2
LGO,LGO ENERGY PLC,BBG000PDXY02
LID,LIDCO GROUP PLC,BBG000JM41Z5
LIFE,LIFE SCIENCE DEVELOPMENTS LT,BBG0019V99H2
LSIC,LIFELINE SCIENTIFIC INC-NEW,BBG000VWYWR7
LGT,LIGHTHOUSE GROUP PLC,BBG000D4J229
LWRF,LIGHTWAVERF PLC,BBG000JY0HQ8
LME,LIMITLESS EARTH PLC,BBG006FSLR41
LIO,LIONTRUST ASSET MANAGEMENT,BBG000BZTG75
LBB,LITEBULB GROUP LTD,BBG000FJTLW8
LIVN,LIVANOVA PLC,BBG00B6V6FR1
LIV,LIVERMORE INVESTMENTS GROUP,BBG000FLSML4
LLOY,LLOYDS BANKING GROUP PLC,BBG000BDQGR5
LOK,LOK'NSTORE GROUP PLC,BBG000DTMH81
LRM,LOMBARD RISK MANAGEMENT PLC,BBG000G0B0S8
LAS,LONDON & ASSOC PROP PLC,BBG000BDPND6
LCG,LONDON CAPITAL GROUP HOLDING,BBG000G5H2N2
LFI,LONDON FINANCE & INVT GROUP,BBG000BDQB14
LSC,LONDON SECURITY PLC,BBG000BDRL11
LSE,LONDON STOCK EXCHANGE GROUP,BBG000BC85S0
LMI,LONMIN PLC,BBG000C0XMX4
LOOK,LOOKERS PLC,BBG000BDRBF8
LWB,LOW & BONAR PLC,BBG000BDSBF7
LPA,LPA GROUP PLC,BBG000BDRF32
LSL,LSL PROPERTY SERVICES PLC,BBG000QCS940
LEF,LUDGATE ENVIRONMENTAL FUND L,BBG000RHXMY0
LKOH,LUKOIL PJSC,BBG000PM5917
LUPR,LUPUS CAPITAL-RFD,BBG000JTNSV4
LXB,LXB RETAIL PROPERTIES,BBG000PN73R8
MPE,M P EVANS GROUP PLC,BBG000BF0413
WINK,M WINKWORTH PLC,BBG000PV6P10
SAA,M&C SAATCHI PLC,BBG000F4GDT7
PHU,M&L PROPERTY & ASSETS PLC,BBG000BXYNY9
MACF,MACFARLANE GROUP PLC,BBG000BDSGG5
MACC,MACROMAC PLC,BBG0057TX4Y5
MOIL,MADAGASCAR OIL LTD,BBG0018Q6335
MAGP,MAGNOLIA PETROLEUM PLC,BBG0027YBXD4
MAI,MAINTEL HOLDINGS PLC,BBG000QPHYH4
MJW,MAJESTIC WINE PLC,BBG000BLPMT3
EMG,MAN GROUP PLC,BBG000BGG995
MMC,MANAGEMENT CONSULTING GROUP,BBG000BWS5P7
MRS,MANAGEMENT RESOURCE SOLUTION,BBG007JPG233
MDOJ,MANDARIN ORIENTAL INTL LTD,BBG000HFW5B8
MDOB,MANDARIN ORIENTAL INTL LTD,BBG000H9WCV5
MDO,MANDARIN ORIENTAL INTL LTD,BBG000BKMG48
1003742D,MANDM DIRECT HOLDINGS LTD,BBG006L7HDT9
MFX,MANX FINANCIAL GROUP PLC,BBG000FKMJQ4
MANX,MANX TELECOM PLC,BBG005XV6XJ4
1291183D,MAPAL GROUP PLC,BBG009H2X304
MAC,MARECHALE CAPITAL PLC,BBG000S6TRJ4
MARL,MARIANA RESOURCES LTD,BBG000P2PR00
MKT,MARKET TECH HOLDINGS LTD,BBG007PN2G26
MKS,MARKS & SPENCER GROUP PLC,BBG000BDTRV3
2538354Z,MARLOW RETAIL LTD,BBG006NM2KH7
MRL,MARLOWE HOLDINGS LTD,BBG000TDMK37
MHM,MARSH & MCLENNAN COS,BBG000KMGZV9
MMH,MARSHALL MOTOR HOLDINGS PLC,BBG0089PM5J1
MSLH,MARSHALLS PLC,BBG000BDVP35
MARS,MARSTON'S PLC,BBG000BF6792
MCO,MARTINCO PLC,BBG005NSNHV4
MAW,MARUWA CO LTD,BBG000GHHL81
MMP,MARWYN MANAGEMENT PARTNERS P,BBG001D660D8
MASA,MASAWARA PLC,BBG000VNXZX4
MTEC,MATCHTECH GROUP PLC,BBG000Q5M941
MTMY,MATOMY MEDIA GROUP LTD,BBG0064LXTN0
MTW,MATTIOLI WOODS PLC,BBG000FH1C61
MAYA,MAYAIR GROUP PLC,BBG008H1TR55
MUBL,MBL GROUP PLC,BBG000NQ9BG5
MCB,MCBRIDE PLC,BBG000FF0LP5
MCS,MCCARTHY & STONE PLC,BBG00B6QPCJ7
MCLS,MCCOLL'S RETAIL GROUP PLC,BBG00623L5Z4
MER,MEARS GROUP PLC,BBG000HHP5P7
MED,MEDAPHOR GROUP PLC,BBG006YRH8H5
MDZ,MEDIAZEST PLC,BBG000J9SR27
MEDI,MEDILINK-GLOBAL UK LTD,BBG000DQ9NY0
900347Z,MEDIVANCE INC,BBG000R1RQN5
MGGT,MEGGITT PLC,BBG000BDT2D8
MIK,MEIKLES LTD,BBG000HMP1B0
MRO,MELROSE INDUSTRIES PLC,BBG00B5C2SM5
MHN,MENHADEN CAPITAL PLC,BBG009L5F071
MNZS,MENZIES (JOHN) PLC,BBG000BDV7V4
MERC,MERCIA TECHNOLOGIES PLC,BBG007P8JWV4
MMO,MERCOM OIL SANDS PLC,BBG002ZGNFT1
MERL,MERLIN ENTERTAINMENT,BBG005GBMMS3
MES,MESSAGING INTERNATIONAL PLC,BBG000FTPDS3
MTR,METAL TIGER PLC,BBG000BFLTT5
MTL,METALS EXPLORATION PLC,BBG000QCPTN8
MNC,METMINCO LTD,BBG000WB4273
MPAY,MI-PAY GROUP PLC,BBG000C8DDS5
MPI,MICHAEL PAGE INTERNATIONAL,BBG000H7G4L6
MBH,MICHELMERSH BRICK HOLDINGS P,BBG000FT6L79
MCRO,MICRO FOCUS INTERNATIONAL,BBG000G4KKD2
MCGN,MICROGEN PLC,BBG000BDSSR7
MSYS,MICROSAIC SYSTEMS PLC,BBG001M4N3Y5
MTPH,MIDATECH PHARMA PLC,BBG007LNWN22
MSG,MILESTONE GROUP PLC,BBG000PSQB89
MLC,MILLENNIUM & COPTHORNE HOTEL,BBG000GM76D8
MIO,MINCO PLC,BBG000BJDTH9
MCON,MINCON GROUP PLC,BBG005MWSGW2
MMX,MINDS PLUS MACHINES GROUP LT,BBG000R5RFF9
MIRL,MINERA IRL LTD,BBG000R510P9
MAFL,MINERAL & FINANCIAL INVESTME,BBG000QNYC24
MIN,MINOAN GROUP PLC,BBG000HM1MH4
MIRA,MIRADA PLC,BBG000DC6HJ4
MLD,MIRLAND DEVELOPMENT CORP,BBG000BPK2W9
TMMG,MISSION MARKETING GROUP PLC,BBG000NZ4HK2
MAB,MITCHELLS & BUTLERS PLC,BBG000P0WDQ9
