OCQLF,01 COMMUNIQUE LABORATORY INC,BBG000GGBTC7
ANF,ABERCROMBIE & FITCH CO-CL A,BBG000H9G7X2
ABDNF,ABERDEEN ASSET MGMT PLC,BBG000BVT0R7
AABVF,ABERDEEN INTERNATIONAL INC,BBG000BXKHJ4
ABFOF,ABERTIS INFRAESTRUCTURAS SA,BBG000BWNX53
ABGSF,ABG SUNDAL COLLIER HOLDING,BBG000C1C9T9
AYHC,ABILITY HOLDING CORP,BBG000L38V39
ABIZF,ABINGTON RESOURCES LTD,BBG000CMJP47
ABMD,ABIOMED INC,BBG000C101X4
AIBIF,ABITIBI MINING CORP,BBG000C6QXD7
ATBYF,ABITIBI ROYALTIES INC,BBG00215FF75
ABZT,ABLAZE TECHNOLOGIES INC,BBG000P67Y06
ABLE,ABLE ENERGY INC,BBG000C4DB08
ABLYF,ABLYNX NV,BBG000W3VZ14
ABM,ABM INDUSTRIES INC,BBG000B9YYH7
ABZPF,ABOITIZ POWER CORP,BBG001768LM7
ABOT,ABOT MINING CO,BBG000C9QTF8
AXAS,ABRAXAS PETROLEUM CORP,BBG000HYNQP6
ASCN,ABSECON BANCORP,BBG000BSDRT0
AHFI,ABSOLUTE HEALTH AND FITNESS,BBG000CMQ990
ALSWF,ABSOLUTE SOFTWARE CORPORATIO,BBG000CP4V61
ABHD,ABTECH HOLDINGS INC,BBG000V08V70
1055521D,ABV CONSULTING INC,BBG0072K6Y42
ABZUF,ABZU GOLD LTD,BBG001D9N212
ACSX,AC SIMMONDS & SONS INC,BBG0039FT8T0
ACCA,ACACIA DIVERSIFIED HOLDINGS,BBG000BSH3J0
ACTG,ACACIA RESEARCH CORP,BBG000KF9J02
ACHC,ACADIA HEALTHCARE CO INC,BBG000FPNN38
ACAD,ACADIA PHARMACEUTICALS INC,BBG000BHG9K0
ACAZF,ACADIAN TIMBER CORP,BBG000WC4K26
ACST,ACASTI PHARMA INC,BBG001NMDXS6
0465490D,ACCELERA INNOVATIONS INC,BBG00325DVR7
AXDX,ACCELERATE DIAGNOSTICS INC,BBG000CDVK08
ANRBF,ACCELERATOR NORDIC AB,BBG005YKMNP4
ACLZ,ACCELERIZE NEW MEDIA INC,BBG000V11PT4
XLRN,ACCELERON PHARMA INC,BBG000R5HWZ1
ACWRF,ACCELEWARE LTD,BBG000SHNJW9
ACGPF,ACCELL GROUP,BBG000H4RTY2
ACLPD,ACCELPATH INC,BBG000NW3688
ABPI,ACCENTIA BIOPHARMACEUTICALS,BBG000BV49C1
ACTLF,ACCENTUATE LTD,BBG003QRC2C4
ACN,ACCENTURE PLC-CL A,BBG000D9D830
AICIQ,ACCEPTANCE INSURANCE COS INC,BBG000BBDKS3
AIEDF,ACCESS INTL EDUCATION LTD,BBG000CGWTH3
ANCX,ACCESS NATIONAL CORP,BBG000HDG255
ACCP,ACCESS PHARMACEUTICALS INC,BBG000DT5D52
ACCR,ACCESS POWER INC,BBG000BBRX00
1066103D,ACCESS US OIL & GAS INC,BBG00749KJH8
AWWC,ACCESS WORLDWIDE COMM INC,BBG000C1S725
LOQPF,ACCESSO TECHNOLOGY GROUP PLC,BBG000F45VQ2
ACXIF,ACCIONA SA,BBG000BSYVK7
ACCO,ACCO BRANDS CORP,BBG000J06K07
ACMM,ACCOM INC,BBG000BJ81Z6
ACRFF,ACCOR SA,BBG000BPRCJ5
ACGFF,ACCORDIA GOLF CO LTD,BBG000PPS746
ACDU,ACCREDITED BUSINESS CONSOLID,BBG000HM37Y6
ACCE,ACCRES HOLDING INC,BBG000GDKNS0
ACHI,ACCRETIVE HEALTH INC,BBG000PLPHH2
